R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45536.02017361111,45536.05673611111,50H35837,26323943,,35837,UETU2151559,2200,NHAR,R39539218,E02,E10
D,45536.02017361111,45536.05673611111,50H35837,26323943,,35837,WHSU6346297,4500,CAPR,E39539241,E02,E10
R,45536.02018518518,45536.03563657407,70H00789,26323944,70R01174,00789,FCIU3731631,2200,HBCX,R39539262,A02,B08
D,45536.02030092593,45536.04238425926,51C92434,26323945,51R9446,92434,WHSU0114247,2200,GTHA,D39539261,E02,B08
R,45536.02030092593,45536.04238425926,51C92434,26323945,51R9446,92434,WHSU0223171,2200,NHAR,R39539252,E02,B08
D,45536.02030092593,45536.05454861111,51C94364,26323946,51R13470,94364,MRKU6763410,2200,GTHA,D39539259,B04,A05
D,45536.02030092593,45536.05454861111,51C94364,26323946,51R13470,94364,WHSU0024014,2200,GTHA,D39539264,B04,A05
R,45536.020324074074,45536.03841435185,51C69705,26323947,51R11478,69705,TRHU6786149,4500,HBCX,R39539263,G02,B08
D,45536.021145833336,45536.04145833333,51C54090,26323948,51R10221,54090,SEGU2336797,2200,GTHA,D39539265,B04,A05
R,45536.021145833336,45536.04145833333,51C54090,26323948,51R10221,54090,SEGU1355160,2200,HBCX,R39539273,B04,A05
R,45536.02122685185,45536.0453125,51D37031,26323949,51R13271,37031,OOCU5023376,4500,HBCX,R39539266,A02,B08
D,45536.02134259259,45536.03462962963,51D64212,26323950,50RM00584,64212,TGBU6391823,4500,GTHA,D39539272,G02,G04
R,45536.02134259259,45536.03462962963,51D64212,26323950,50RM00584,64212,OOCU7303777,4500,HBCX,R39539255,G02,G04
R,45536.02148148148,45536.09883101852,86H01228,26323951,86R0209,01228,EMCU5504608,4530,HBCX,R39539269,D02,B08
D,45536.02148148148,45536.09883101852,86H01228,26323951,86R0209,01228,MNBU0402826,4530,GTHA,D39539274,D02,B08
D,45536.021678240744,45536.034317129626,61C38094,26323952,60R05083,38094,WHLU0259013,2200,GTHA,D39539270,B02,B08
R,45536.02175925926,45536.03364583333,51C92790,26323953,,92790,TGBU1093929,2200,NHAR,R39539257,E04,E10
R,45536.021886574075,45536.03219907408,71H00146,26323954,71R00180,00146,KMTU7465137,2200,HBCX,R39539267,A02,E10
R,45536.02197916667,45536.034224537034,70C05769,26323955,70R01183,05769,MSKU5849866,2200,HBCX,R39539275,A03,E10
R,45536.022141203706,45536.0621875,79H00417,26323956,79R00773,00417,MNBU3583501,4530,HBCX,R39539277,D02,B08
R,45536.022314814814,45536.028449074074,61C28787,26323957,61RM00663,28787,CAAU8249679,4500,HBCX,R39539278,B04,E10
